,employer,chill_app,time_chill,work_app,time_work,timestamp,coef
2123,Scott Self,YouTube,3.0,Git,7.0,09-06-2022,3.0
988,Mary Remis,Яндекс.Музыка,2.9,PyCharm,7.1,09-06-2022,0.5
1364,Jacob Cole,Яндекс.Музыка,2.9,PgAdmin4,7.1,09-06-2022,2.0
1859,Robert Locke,Яндекс.Музыка,6.7,Git,3.3,09-06-2022,0.5
1400,Anthony Hankerson,Яндекс.Музыка,2.5,PyCharm,7.5,09-06-2022,1.0
217,Salvatore Ketron,YouTube,2.5,Teams,7.5,09-06-2022,0.0
1245,Tonya Rhodes,YouTube,2.9,Git,7.1,09-06-2022,1.0
2805,Maxie Banks,Яндекс.Музыка,2.9,Teams,7.1,09-06-2022,2.0
2949,Jay Traficante,Twitch,2.8,PyCharm,7.2,09-06-2022,1.0
2174,Wendy Orr,Twitch,3.0,PyCharm,7.0,09-06-2022,0.5
2404,Laura Acker,Twitch,2.7,Git,7.3,09-06-2022,2.5
2548,Megan Elizondo,Яндекс.Музыка,2.6,PgAdmin4,7.4,09-06-2022,2.0
685,Albert Ortiz,Яндекс.Музыка,3.7,Teams,6.3,09-06-2022,1.0
1558,Thomas Poore,Twitch,3.3,Git,6.7,09-06-2022,0.5
710,Louis Stater,Twitch,2.8,Git,7.2,09-06-2022,2.5
2441,Donnie Flores,Twitch,3.6,PgAdmin4,6.4,09-06-2022,1.0
888,Michael Cuneo,YouTube,3.1,PyCharm,6.9,09-06-2022,2.5
95,Lisa Johnston,Twitch,3.8,Git,6.2,09-06-2022,0.5
2216,Barry Powell,YouTube,2.3,PyCharm,7.7,09-06-2022,0.5
252,Lynne Dozier,Яндекс.Музыка,3.8,PyCharm,6.2,09-06-2022,1.5
2837,Bruce Makela,YouTube,2.9,PgAdmin4,7.1,09-06-2022,0.5
174,Leah Mendoza,YouTube,2.9,PyCharm,7.1,09-06-2022,2.0
2254,Raymond Trevino,YouTube,2.1,PyCharm,7.9,09-06-2022,0.5
1883,Shirley Murphree,Twitch,2.7,PyCharm,7.3,09-06-2022,1.0
494,Anthony Wright,Twitch,3.6,PyCharm,6.4,10-06-2022,1.5
2629,Larry Williamson,Яндекс.Музыка,2.2,PgAdmin4,7.8,10-06-2022,0.5
2116,Scott Self,YouTube,2.4,PgAdmin4,7.6,10-06-2022,1.5
865,Lacie Jennings,Яндекс.Музыка,3.4,Teams,6.6,10-06-2022,0.5
1349,Steve Wolcott,Яндекс.Музыка,3.5,PyCharm,6.5,10-06-2022,1.5
1316,Ralph Roache,Twitch,4.0,PyCharm,6.0,10-06-2022,1.0
2695,George Chausse,Яндекс.Музыка,3.0,Teams,7.0,10-06-2022,1.0
50,Sandra Cox,Twitch,3.1,Git,6.9,10-06-2022,1.5
2923,Gary Richardson,YouTube,3.2,Git,6.8,10-06-2022,0.0
1277,Lois Harrington,Яндекс.Музыка,3.0,Teams,7.0,10-06-2022,1.0
1059,Rogelio Degeyter,YouTube,2.3,Git,7.7,10-06-2022,0.0
1350,Jacob Cole,YouTube,6.7,Git,3.3,10-06-2022,0.5
2890,Amanda Leatham,YouTube,3.2,Git,6.8,10-06-2022,0.5
2367,Sarah Harwood,Яндекс.Музыка,3.0,Teams,7.0,10-06-2022,1.5
1912,Ray Zanola,Twitch,2.2,Teams,7.8,10-06-2022,1.5
1124,Nicole Natalie,Twitch,2.7,Git,7.3,10-06-2022,1.0
829,Janel Peeler,YouTube,2.6,Git,7.4,10-06-2022,2.0
993,Priscilla Boyd,Twitch,2.7,Teams,7.3,10-06-2022,1.0
71,Jerome Lawrence,Яндекс.Музыка,2.6,PgAdmin4,7.4,11-06-2022,0.0
964,Mary Remis,Twitch,3.1,PgAdmin4,6.9,11-06-2022,0.5
1172,Howard Barnes,YouTube,2.7,Teams,7.3,11-06-2022,0.5
1861,Shirley Murphree,Twitch,3.1,PgAdmin4,6.9,11-06-2022,0.5
115,Lisa Johnston,Яндекс.Музыка,6.8,Git,3.2,11-06-2022,1.0
892,Michael Cuneo,Twitch,3.1,PgAdmin4,6.9,11-06-2022,1.5
1369,Jacob Cole,YouTube,2.2,PyCharm,7.8,11-06-2022,0.5
1293,Ralph Roache,YouTube,3.3,Teams,6.7,11-06-2022,1.0
854,Lacie Jennings,YouTube,2.0,PyCharm,8.0,11-06-2022,1.5
1544,Thomas Poore,Яндекс.Музыка,6.7,Git,3.3,11-06-2022,0.0
1434,Vincent Robertson,YouTube,2.2,Git,7.8,11-06-2022,1.0
1706,Dorthea Guyton,Яндекс.Музыка,2.7,Git,7.3,11-06-2022,1.0
914,Carlton Peyton,YouTube,3.9,PyCharm,6.1,11-06-2022,1.5
1070,Rogelio Degeyter,YouTube,3.6,PyCharm,6.4,11-06-2022,0.5
2233,Joseph Pike,YouTube,2.6,PyCharm,7.4,11-06-2022,1.5
620,Marvin Hansen,Яндекс.Музыка,9.0,PyCharm,1.0,11-06-2022,1.5
699,Louis Stater,Яндекс.Музыка,2.6,PyCharm,7.4,11-06-2022,2.5
2963,Jay Traficante,Twitch,3.2,PgAdmin4,6.8,11-06-2022,1.0
9,Paul Glass,Яндекс.Музыка,6.7,PyCharm,3.3,11-06-2022,1.5
2427,Laura Acker,Twitch,3.1,PyCharm,6.9,11-06-2022,0.5
329,David Orr,YouTube,2.1,Git,7.9,11-06-2022,1.0
2980,Jeanne Taylor,Twitch,4.0,Teams,6.0,11-06-2022,2.0
382,Jeffrey Crumley,YouTube,2.9,PyCharm,7.1,11-06-2022,1.0
561,Dwayne Williams,Яндекс.Музыка,3.3,PyCharm,6.7,11-06-2022,1.0
2633,Larry Williamson,Twitch,3.3,Teams,6.7,11-06-2022,0.0
2383,Nellie Alexander,Twitch,2.4,Git,7.6,11-06-2022,0.5
219,Salvatore Ketron,Яндекс.Музыка,3.6,PgAdmin4,6.4,11-06-2022,0.5
2696,George Chausse,Яндекс.Музыка,2.8,Teams,7.2,11-06-2022,1.5
1817,Carol Chapman,YouTube,3.6,Git,6.4,12-06-2022,0.5
1522,Linda Valdez,Twitch,8.1,Teams,1.9,12-06-2022,0.5
222,Salvatore Ketron,Яндекс.Музыка,3.6,PyCharm,6.4,12-06-2022,2.0
1004,Priscilla Boyd,YouTube,3.7,PgAdmin4,6.3,12-06-2022,1.0
1371,Jacob Cole,YouTube,3.3,PgAdmin4,6.7,12-06-2022,2.0
2478,Kathryn Ford,YouTube,2.1,PgAdmin4,7.9,12-06-2022,1.0
1272,Lois Harrington,Яндекс.Музыка,3.2,PyCharm,6.8,12-06-2022,2.5
838,Janel Peeler,Twitch,2.8,Teams,7.2,12-06-2022,2.0
2142,Allison Sharkey,Яндекс.Музыка,3.5,PgAdmin4,6.5,12-06-2022,1.5
2431,Donnie Flores,YouTube,2.6,PgAdmin4,7.4,12-06-2022,1.5
2716,Ann Gardner,Twitch,3.5,PyCharm,6.5,12-06-2022,0.5
2955,Jay Traficante,YouTube,2.6,Git,7.4,12-06-2022,0.5
1404,Anthony Hankerson,YouTube,6.0,PyCharm,4.0,12-06-2022,0.5
1430,Vincent Robertson,Twitch,3.7,PgAdmin4,6.3,12-06-2022,1.5
2230,Joseph Pike,Twitch,2.7,PyCharm,7.3,12-06-2022,0.5
722,Brent Degan,YouTube,3.9,Teams,6.1,12-06-2022,0.5
863,Lacie Jennings,Twitch,2.7,PgAdmin4,7.3,12-06-2022,0.5
2045,Wilma Harden,YouTube,3.8,PgAdmin4,6.2,12-06-2022,1.0
2008,Elinor Hill,Twitch,3.7,Git,6.3,12-06-2022,0.5
2904,Amanda Leatham,YouTube,6.4,PgAdmin4,3.6,12-06-2022,1.5
535,Kenneth Harvey,YouTube,8.1,Git,1.9,12-06-2022,1.5
2551,Eliz Urban,Twitch,2.4,PgAdmin4,7.6,12-06-2022,0.5
2814,Maxie Banks,YouTube,3.5,PgAdmin4,6.5,12-06-2022,1.5
1933,Anna Lauer,YouTube,2.6,Teams,7.4,12-06-2022,1.0
2288,Robert Bennett,Twitch,3.3,Git,6.7,12-06-2022,0.5
566,Dwayne Williams,YouTube,3.5,PyCharm,6.5,12-06-2022,1.5
615,Marvin Hansen,Twitch,2.3,Git,7.7,13-06-2022,1.0
2218,Barry Powell,Twitch,2.9,PgAdmin4,7.1,13-06-2022,1.0
1256,Tonya Rhodes,YouTube,2.2,Teams,7.8,13-06-2022,1.5
392,Rose Vanatta,Twitch,2.4,PyCharm,7.6,13-06-2022,0.0
692,Louis Stater,Twitch,2.2,Git,7.8,13-06-2022,0.0
559,Dwayne Williams,YouTube,2.1,Teams,7.9,13-06-2022,1.0
915,Carlton Peyton,Twitch,3.8,PyCharm,6.2,13-06-2022,1.0
686,Albert Ortiz,YouTube,3.7,PyCharm,6.3,13-06-2022,1.0
1634,David Lott,YouTube,2.9,PyCharm,7.1,13-06-2022,1.0
2596,Florence Smith,YouTube,2.3,Teams,7.7,13-06-2022,0.5
1916,Ray Zanola,YouTube,3.1,Teams,6.9,13-06-2022,1.0
2098,Rafael Lampe,YouTube,3.1,PyCharm,6.9,13-06-2022,1.5
2047,Wilma Harden,YouTube,3.4,Teams,6.6,13-06-2022,1.0
797,Alice Washington,Яндекс.Музыка,2.5,Git,7.5,13-06-2022,0.5
2561,Eliz Urban,Twitch,3.3,Git,6.7,13-06-2022,1.5
2892,Amanda Leatham,YouTube,3.9,Teams,6.1,13-06-2022,0.5
1513,Linda Valdez,Яндекс.Музыка,2.8,Teams,7.2,13-06-2022,0.0
660,Albert Ortiz,Яндекс.Музыка,3.8,PyCharm,6.2,14-06-2022,0.5
523,Kenneth Harvey,YouTube,2.7,PgAdmin4,7.3,14-06-2022,1.5
864,Lacie Jennings,Яндекс.Музыка,8.6,Git,1.4,14-06-2022,1.0
1189,Howard Barnes,YouTube,2.2,Teams,7.8,14-06-2022,1.5
2538,Megan Elizondo,YouTube,2.1,Git,7.9,14-06-2022,0.0
701,Louis Stater,Twitch,3.9,PyCharm,6.1,14-06-2022,0.5
352,Louise Gerber,Яндекс.Музыка,3.0,PgAdmin4,7.0,14-06-2022,1.0
2607,Florence Smith,Яндекс.Музыка,2.4,PgAdmin4,7.6,14-06-2022,0.0
1295,Ralph Roache,YouTube,3.9,PyCharm,6.1,14-06-2022,1.0
593,Evelyn Moran,YouTube,2.8,Teams,7.2,14-06-2022,0.5
642,Randy Balch,YouTube,3.1,Teams,6.9,14-06-2022,1.0
1901,Ray Zanola,Яндекс.Музыка,3.4,PgAdmin4,6.6,14-06-2022,0.5
932,Glenda Boswell,YouTube,3.1,Teams,6.9,14-06-2022,0.5
484,Anthony Wright,Яндекс.Музыка,2.8,PyCharm,7.2,14-06-2022,1.0
1577,John Galvin,YouTube,2.8,Git,7.2,14-06-2022,1.0
2720,Ann Gardner,YouTube,2.4,PyCharm,7.6,14-06-2022,0.0
1767,Charles Brown,Twitch,3.6,PgAdmin4,6.4,14-06-2022,1.5
131,John Vest,Twitch,2.9,PyCharm,7.1,14-06-2022,1.0
67,Jerome Lawrence,Яндекс.Музыка,2.8,Teams,7.2,14-06-2022,2.0
748,Brent Degan,Яндекс.Музыка,3.9,PyCharm,6.1,14-06-2022,1.5
2312,Lyndon Falls,Яндекс.Музыка,3.9,PyCharm,6.1,14-06-2022,1.0
1185,Howard Barnes,Twitch,3.1,Git,6.9,15-06-2022,1.5
2978,Jeanne Taylor,YouTube,2.7,PgAdmin4,7.3,15-06-2022,1.0
1772,Joe Gordon,Яндекс.Музыка,3.6,Git,6.4,15-06-2022,0.0
614,Marvin Hansen,Twitch,2.4,PgAdmin4,7.6,15-06-2022,1.0
1803,Carol Chapman,Яндекс.Музыка,3.8,Git,6.2,15-06-2022,1.0
1466,Lachelle Armstrong,Twitch,2.9,Teams,7.1,15-06-2022,1.5
2279,Raymond Trevino,Яндекс.Музыка,3.8,PyCharm,6.2,15-06-2022,0.5
1546,Thomas Poore,Яндекс.Музыка,6.8,PyCharm,3.2,15-06-2022,1.0
2896,Amanda Leatham,Яндекс.Музыка,8.8,PgAdmin4,1.2,15-06-2022,1.0
1854,Robert Locke,Twitch,3.5,PyCharm,6.5,15-06-2022,1.0
1298,Ralph Roache,Twitch,7.5,Teams,2.5,15-06-2022,0.0
2711,Ann Gardner,Яндекс.Музыка,2.9,PgAdmin4,7.1,15-06-2022,1.5
2967,Jay Traficante,Яндекс.Музыка,3.7,Teams,6.3,15-06-2022,1.0
2165,Wendy Orr,Twitch,2.8,PyCharm,7.2,15-06-2022,2.0
103,Lisa Johnston,YouTube,2.2,Git,7.8,15-06-2022,0.5
687,Albert Ortiz,Twitch,2.5,Teams,7.5,15-06-2022,1.0
1425,Vincent Robertson,YouTube,3.6,PyCharm,6.4,15-06-2022,2.5
2102,Scott Self,Яндекс.Музыка,3.7,PyCharm,6.3,15-06-2022,1.5
2138,Allison Sharkey,Яндекс.Музыка,3.2,Teams,6.8,15-06-2022,1.5
2911,Gary Richardson,YouTube,3.7,PgAdmin4,6.3,15-06-2022,2.5
397,Rose Vanatta,YouTube,2.1,PgAdmin4,7.9,15-06-2022,2.0
721,Brent Degan,YouTube,2.8,PyCharm,7.2,15-06-2022,0.5
2428,Laura Acker,Twitch,4.0,Git,6.0,16-06-2022,0.5
2945,Jay Traficante,YouTube,7.5,Teams,2.5,16-06-2022,2.5
2634,Larry Williamson,YouTube,3.4,Git,6.6,16-06-2022,1.5
2846,Bruce Makela,Twitch,3.7,PyCharm,6.3,16-06-2022,1.5
522,Kenneth Harvey,Яндекс.Музыка,2.2,Teams,7.8,16-06-2022,1.5
651,Randy Balch,YouTube,2.7,PgAdmin4,7.3,16-06-2022,1.0
2003,Elinor Hill,YouTube,3.1,Teams,6.9,16-06-2022,1.0
380,Jeffrey Crumley,Twitch,2.8,Git,7.2,16-06-2022,1.0
2567,Eliz Urban,YouTube,6.7,Git,3.3,16-06-2022,0.5
309,David Orr,YouTube,3.7,Teams,6.3,16-06-2022,2.5
2108,Scott Self,Яндекс.Музыка,3.0,PgAdmin4,7.0,16-06-2022,2.5
1945,Anna Lauer,Twitch,2.7,PgAdmin4,7.3,16-06-2022,0.5
158,Leah Mendoza,Twitch,3.8,Git,6.2,16-06-2022,0.0
2970,Jeanne Taylor,YouTube,3.1,Teams,6.9,16-06-2022,1.5
238,Salvatore Ketron,Яндекс.Музыка,2.7,Teams,7.3,16-06-2022,0.5
1363,Jacob Cole,Twitch,3.7,Teams,6.3,16-06-2022,1.0
2718,Ann Gardner,Twitch,2.1,PyCharm,7.9,16-06-2022,1.0
2882,Amanda Leatham,Яндекс.Музыка,3.1,PgAdmin4,6.9,16-06-2022,1.5
1783,Joe Gordon,Яндекс.Музыка,2.6,Git,7.4,16-06-2022,2.0
2973,Jeanne Taylor,YouTube,3.4,PyCharm,6.6,17-06-2022,0.0
447,Ann Flanagan,YouTube,2.3,Git,7.7,17-06-2022,1.0
2587,Florence Smith,Яндекс.Музыка,3.1,Git,6.9,17-06-2022,1.0
1703,Dorthea Guyton,Яндекс.Музыка,3.0,Git,7.0,17-06-2022,1.5
2338,Lyndon Falls,Яндекс.Музыка,2.5,PyCharm,7.5,17-06-2022,2.0
1103,William Diaz,YouTube,2.6,PyCharm,7.4,17-06-2022,1.0
165,Leah Mendoza,Twitch,3.0,Teams,7.0,17-06-2022,0.5
2161,Wendy Orr,Twitch,3.8,Teams,6.2,17-06-2022,1.0
2238,Joseph Pike,Яндекс.Музыка,3.8,Teams,6.2,17-06-2022,0.5
1547,Thomas Poore,YouTube,3.5,PgAdmin4,6.5,17-06-2022,1.0
452,Dorathy Lander,Яндекс.Музыка,4.0,PgAdmin4,6.0,17-06-2022,1.0
2020,Ruby Dicus,Яндекс.Музыка,3.1,Teams,6.9,17-06-2022,0.5
709,Louis Stater,Яндекс.Музыка,2.4,Teams,7.6,17-06-2022,1.5
346,Louise Gerber,Twitch,3.9,PyCharm,6.1,17-06-2022,2.0
78,Jerome Lawrence,Яндекс.Музыка,3.2,PyCharm,6.8,17-06-2022,1.0
1821,Carol Chapman,Яндекс.Музыка,3.5,Teams,6.5,17-06-2022,1.0
2462,Kathryn Ford,Twitch,8.7,Git,1.3,17-06-2022,0.5
2661,Jimmy Williamson,Яндекс.Музыка,2.3,Git,7.7,17-06-2022,1.5
1714,Irene Semmes,Twitch,2.3,Git,7.7,17-06-2022,1.5
2516,Michelle Robbins,YouTube,2.3,Teams,7.7,17-06-2022,1.5
2572,Eliz Urban,YouTube,3.6,Git,6.4,18-06-2022,1.5
237,Salvatore Ketron,Яндекс.Музыка,3.0,PyCharm,7.0,18-06-2022,0.0
1512,Linda Valdez,Яндекс.Музыка,2.5,Git,7.5,18-06-2022,1.5
1608,Jerry Joy,Яндекс.Музыка,2.3,PyCharm,7.7,18-06-2022,0.5
2868,Gloria Schmitz,Яндекс.Музыка,2.3,Git,7.7,18-06-2022,0.5
365,Jeffrey Crumley,Яндекс.Музыка,2.2,Teams,7.8,18-06-2022,1.0
1356,Jacob Cole,Twitch,3.1,Git,6.9,18-06-2022,0.0
2537,Megan Elizondo,Twitch,3.8,PyCharm,6.2,18-06-2022,2.0
246,Lynne Dozier,YouTube,2.8,Teams,7.2,18-06-2022,1.0
755,William Dixon,Яндекс.Музыка,6.2,Teams,3.8,18-06-2022,2.5
611,Marvin Hansen,Яндекс.Музыка,3.6,Teams,6.4,18-06-2022,1.5
1887,Shirley Murphree,YouTube,3.2,PyCharm,6.8,18-06-2022,1.5
416,Rose Vanatta,Twitch,3.5,Git,6.5,18-06-2022,2.0
1797,Joe Gordon,Яндекс.Музыка,2.1,Git,7.9,18-06-2022,0.5
2638,Larry Williamson,YouTube,2.9,PyCharm,7.1,18-06-2022,1.0
2345,Sarah Harwood,Twitch,2.7,Git,7.3,18-06-2022,1.0
425,Ann Flanagan,Twitch,2.5,PyCharm,7.5,18-06-2022,2.0
1414,Vincent Robertson,Twitch,4.0,PyCharm,6.0,18-06-2022,1.0
1741,Charles Brown,YouTube,2.7,PgAdmin4,7.3,18-06-2022,2.0
2204,Barry Powell,YouTube,6.4,Teams,3.6,18-06-2022,1.0
707,Louis Stater,Twitch,2.4,PyCharm,7.6,18-06-2022,0.0
2310,Lyndon Falls,YouTube,3.1,Teams,6.9,18-06-2022,1.5
2701,Ann Gardner,Яндекс.Музыка,3.7,PgAdmin4,6.3,18-06-2022,1.5
2380,Nellie Alexander,Twitch,3.2,PyCharm,6.8,18-06-2022,0.5
5,Paul Glass,Яндекс.Музыка,2.7,Git,7.3,18-06-2022,1.5
2303,Robert Bennett,Twitch,2.3,Teams,7.7,18-06-2022,1.5
298,Lisa Bailes,YouTube,3.2,Git,6.8,18-06-2022,0.5
1728,Irene Semmes,Яндекс.Музыка,2.2,PyCharm,7.8,18-06-2022,0.0
575,Evelyn Moran,Яндекс.Музыка,3.7,PyCharm,6.3,18-06-2022,1.0
971,Mary Remis,YouTube,2.2,Git,7.8,19-06-2022,0.5
2072,Rafael Lampe,YouTube,6.8,Git,3.2,19-06-2022,1.0
623,Marvin Hansen,Twitch,2.2,Teams,7.8,19-06-2022,3.0
2477,Kathryn Ford,YouTube,6.1,PgAdmin4,3.9,19-06-2022,0.5
332,Louise Gerber,YouTube,2.5,PyCharm,7.5,19-06-2022,2.0
1412,Vincent Robertson,Twitch,3.0,Teams,7.0,19-06-2022,1.0
2391,Nellie Alexander,YouTube,3.0,PgAdmin4,7.0,19-06-2022,3.0
955,Glenda Boswell,YouTube,2.6,PyCharm,7.4,19-06-2022,2.0
557,Dwayne Williams,YouTube,3.3,PyCharm,6.7,19-06-2022,1.0
2533,Megan Elizondo,YouTube,3.6,Git,6.4,19-06-2022,0.5
770,William Dixon,Twitch,3.9,Teams,6.1,19-06-2022,0.0
2180,Wendy Orr,Яндекс.Музыка,2.2,Teams,7.8,19-06-2022,0.5
1193,Howard Barnes,YouTube,2.8,PyCharm,7.2,19-06-2022,0.5
1626,David Lott,Twitch,2.4,Git,7.6,20-06-2022,1.0
2866,Gloria Schmitz,YouTube,3.9,Teams,6.1,20-06-2022,1.0
2743,Marvin Wilson,Twitch,2.4,PyCharm,7.6,20-06-2022,2.5
1243,Tonya Rhodes,Twitch,2.9,Git,7.1,20-06-2022,1.0
592,Evelyn Moran,Twitch,2.3,PyCharm,7.7,20-06-2022,1.0
1491,Natasha Andrews,Яндекс.Музыка,2.7,PyCharm,7.3,20-06-2022,1.0
1339,Steve Wolcott,Яндекс.Музыка,3.5,Git,6.5,20-06-2022,1.5
1884,Shirley Murphree,Twitch,2.1,PyCharm,7.9,20-06-2022,1.0
1126,Nicole Natalie,Twitch,2.8,Git,7.2,20-06-2022,2.0
1156,Joyce Osborne,Twitch,3.1,Git,6.9,20-06-2022,1.5
2017,Ruby Dicus,Twitch,2.2,PyCharm,7.8,20-06-2022,1.5
1674,David Herman,Twitch,2.3,PyCharm,7.7,20-06-2022,1.5
2792,Maxie Banks,Twitch,3.3,PgAdmin4,6.7,20-06-2022,2.0
362,Jeffrey Crumley,YouTube,2.6,PyCharm,7.4,20-06-2022,2.5
2996,Jeanne Taylor,Яндекс.Музыка,2.5,PgAdmin4,7.5,20-06-2022,1.5
629,Marvin Hansen,Twitch,2.7,PyCharm,7.3,20-06-2022,0.5
766,William Dixon,Twitch,2.1,Git,7.9,20-06-2022,1.5
1023,Emmie Jenkins,Twitch,3.7,PyCharm,6.3,20-06-2022,1.0
899,Michael Cuneo,YouTube,3.3,PgAdmin4,6.7,20-06-2022,0.5
684,Albert Ortiz,YouTube,2.6,PyCharm,7.4,20-06-2022,1.0
832,Janel Peeler,Twitch,3.3,Teams,6.7,20-06-2022,1.0
272,Lisa Bailes,Яндекс.Музыка,3.0,Git,7.0,21-06-2022,1.0
2355,Sarah Harwood,YouTube,8.0,PgAdmin4,2.0,21-06-2022,0.0
2470,Kathryn Ford,Яндекс.Музыка,2.6,Git,7.4,21-06-2022,0.5
632,Randy Balch,YouTube,3.3,PyCharm,6.7,21-06-2022,1.0
1497,Natasha Andrews,Twitch,3.8,PyCharm,6.2,21-06-2022,1.0
907,Carlton Peyton,Яндекс.Музыка,3.3,Git,6.7,21-06-2022,1.0
1331,Steve Wolcott,Twitch,3.0,PyCharm,7.0,21-06-2022,1.5
235,Salvatore Ketron,Яндекс.Музыка,2.0,PyCharm,8.0,21-06-2022,1.0
2883,Amanda Leatham,Twitch,2.4,PgAdmin4,7.6,21-06-2022,0.5
1551,Thomas Poore,YouTube,3.7,Git,6.3,21-06-2022,1.0
99,Lisa Johnston,Twitch,6.6,Git,3.4,21-06-2022,0.5
2264,Raymond Trevino,YouTube,2.9,PgAdmin4,7.1,21-06-2022,1.0
2332,Lyndon Falls,Twitch,2.4,PgAdmin4,7.6,21-06-2022,0.5
544,Dwayne Williams,Яндекс.Музыка,2.7,Git,7.3,21-06-2022,1.0
2220,Joseph Pike,Twitch,3.6,Teams,6.4,21-06-2022,1.5
2736,Marvin Wilson,YouTube,4.0,Git,6.0,21-06-2022,2.0
962,Mary Remis,Twitch,4.0,Teams,6.0,21-06-2022,0.5
2405,Laura Acker,Twitch,3.1,Teams,6.9,21-06-2022,1.0
2099,Rafael Lampe,Twitch,7.0,PyCharm,3.0,21-06-2022,1.0
537,Kenneth Harvey,Twitch,3.2,Teams,6.8,21-06-2022,0.5
1308,Ralph Roache,YouTube,2.1,Teams,7.9,21-06-2022,1.0
1379,Jacob Cole,Яндекс.Музыка,3.6,Git,6.4,22-06-2022,0.5
2885,Amanda Leatham,YouTube,3.1,Git,6.9,22-06-2022,0.5
1844,Robert Locke,YouTube,3.7,PgAdmin4,6.3,22-06-2022,1.0
42,Sandra Cox,Яндекс.Музыка,3.3,Teams,6.7,22-06-2022,0.5
625,Marvin Hansen,Яндекс.Музыка,3.7,PyCharm,6.3,22-06-2022,0.5
1150,Joyce Osborne,Яндекс.Музыка,4.0,PgAdmin4,6.0,22-06-2022,1.5
112,Lisa Johnston,YouTube,2.5,PyCharm,7.5,22-06-2022,0.0
512,Kenneth Harvey,Twitch,3.3,Teams,6.7,22-06-2022,2.0
1094,William Diaz,YouTube,2.0,Teams,8.0,22-06-2022,1.0
1211,Thersa Willhite,YouTube,3.5,Git,6.5,22-06-2022,0.0
474,Dorathy Lander,Яндекс.Музыка,2.6,Git,7.4,22-06-2022,0.5
249,Lynne Dozier,Яндекс.Музыка,2.8,PgAdmin4,7.2,22-06-2022,3.0
672,Albert Ortiz,Twitch,3.0,PgAdmin4,7.0,22-06-2022,1.0
2697,George Chausse,YouTube,3.4,Teams,6.6,22-06-2022,1.5
227,Salvatore Ketron,Twitch,2.8,PgAdmin4,7.2,22-06-2022,1.0
232,Salvatore Ketron,Twitch,2.6,PyCharm,7.4,23-06-2022,1.5
1134,Nicole Natalie,YouTube,7.7,Git,2.3,23-06-2022,1.5
1987,Elinor Hill,Яндекс.Музыка,3.1,Teams,6.9,23-06-2022,1.0
129,John Vest,YouTube,2.5,Git,7.5,23-06-2022,1.0
2762,Max Ceasar,Яндекс.Музыка,2.9,Teams,7.1,23-06-2022,2.0
2340,Sarah Harwood,Яндекс.Музыка,2.1,Teams,7.9,23-06-2022,1.0
880,Michael Cuneo,Яндекс.Музыка,2.4,PyCharm,7.6,23-06-2022,1.0
119,Lisa Johnston,YouTube,2.9,PyCharm,7.1,23-06-2022,1.5
1345,Steve Wolcott,YouTube,3.6,PyCharm,6.4,23-06-2022,2.0
1759,Charles Brown,Twitch,2.4,PyCharm,7.6,23-06-2022,0.0
2159,Allison Sharkey,Twitch,2.4,Git,7.6,23-06-2022,1.0
168,Leah Mendoza,YouTube,3.5,Git,6.5,23-06-2022,2.0
2160,Wendy Orr,Twitch,3.4,Teams,6.6,23-06-2022,0.5
1815,Carol Chapman,Яндекс.Музыка,2.1,PyCharm,7.9,23-06-2022,0.5
13,Paul Glass,Яндекс.Музыка,6.7,Teams,3.3,23-06-2022,1.0
1338,Steve Wolcott,Twitch,3.8,Git,6.2,24-06-2022,0.0
581,Evelyn Moran,Яндекс.Музыка,3.8,Teams,6.2,24-06-2022,1.0
740,Brent Degan,YouTube,2.4,PgAdmin4,7.6,24-06-2022,1.5
1638,David Lott,Twitch,3.3,Teams,6.7,24-06-2022,0.5
2744,Marvin Wilson,Яндекс.Музыка,2.4,PgAdmin4,7.6,24-06-2022,0.5
467,Dorathy Lander,Twitch,3.5,Teams,6.5,24-06-2022,1.0
2692,George Chausse,YouTube,2.4,PyCharm,7.6,24-06-2022,0.5
1195,Howard Barnes,Яндекс.Музыка,3.4,Git,6.6,24-06-2022,1.0
2798,Maxie Banks,Яндекс.Музыка,3.3,PyCharm,6.7,24-06-2022,1.5
186,Yvette Dugas,YouTube,2.9,Git,7.1,24-06-2022,0.5
297,Lisa Bailes,Яндекс.Музыка,7.8,Teams,2.2,24-06-2022,0.0
1375,Jacob Cole,Twitch,3.9,PyCharm,6.1,24-06-2022,1.0
695,Louis Stater,Twitch,3.4,PyCharm,6.6,24-06-2022,0.0
1484,Natasha Andrews,YouTube,2.5,Teams,7.5,24-06-2022,0.5
2121,Scott Self,Twitch,2.3,Git,7.7,24-06-2022,0.5
1627,David Lott,Яндекс.Музыка,2.1,PgAdmin4,7.9,25-06-2022,3.0
2580,Florence Smith,YouTube,2.7,Git,7.3,25-06-2022,1.5
1978,Curtis Davis,YouTube,6.8,Git,3.2,25-06-2022,2.0
1555,Thomas Poore,YouTube,6.2,Teams,3.8,25-06-2022,0.5
1155,Joyce Osborne,YouTube,3.7,Git,6.3,25-06-2022,0.5
676,Albert Ortiz,Яндекс.Музыка,3.6,Git,6.4,25-06-2022,0.5
2774,Max Ceasar,Twitch,4.0,Teams,6.0,25-06-2022,1.0
1739,Irene Semmes,Twitch,8.3,PyCharm,1.7,25-06-2022,0.5
1228,Thersa Willhite,YouTube,2.7,PyCharm,7.3,25-06-2022,1.0
